"Date";"Time";"Script";"ScriptVersion";"Event"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:48:15";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:48:15";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:49:19";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:49:19";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:49:19";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:50:22";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:50:22";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:50:22";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:50:22";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:50:23";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:50:23";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:50:23";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:50:23";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:51:27";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:51:27";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:51:27";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:52:30";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:52:30";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:52:30";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:52:31";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:52:31";"PWS2mqtt";;"End of function app"
"2023-07-01";"15:55:48";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:55:49";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:55:49";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:56:15";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:56:15";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"15:56:31";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"15:56:31";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:01:51";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:01:51";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:01:51";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:01:52";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:01:52";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:06:07";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:06:07";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:06:07";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:07:11";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:07:12";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:07:12";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:07:12";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:08:14";"PWS2mqtt";;"Converting the rawdata"
"2023-07-01";"16:08:14";"PWS2mqtt";;"M2MQtt module loaded"
"2023-07-01";"16:08:14";"PWS2mqtt";;"Connecting to MQTT server 1883"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Publishing data per topic"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Publishing json data"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Publishing raw data (json)"
"2023-07-01";"16:08:15";"PWS2mqtt";;"Disconnecting MQTT"
"2023-07-01";"16:08:15";"PWS2mqtt";;"End of function app"
"2023-07-01";"16:09:19";"PWS2mqtt";;"Converting the rawdata"
