"Date";"Time";"Script";"Event"
"2023-07-05";"13:23:13";"PWS2mqtt";"Converting the rawdata"
"2023-07-05";"13:23:13";"PWS2mqtt";"M2MQtt module loaded"
"2023-07-05";"13:23:13";"PWS2mqtt";"Default MQTT retain bit is set"
"2023-07-05";"13:23:13";"PWS2mqtt";"Connecting to MQTT server 1883"
"2023-07-05";"13:23:13";"PWS2mqtt";"Publishing data per topic"
"2023-07-05";"13:23:13";"PWS2mqtt";"Publishing json data"
"2023-07-05";"13:23:13";"PWS2mqtt";"Publishing raw data (json)"
"2023-07-05";"13:23:13";"PWS2mqtt";"Domoticz topic entered: domoticz/in"
"2023-07-05";"13:23:13";"PWS2mqtt";"Disconnecting MQTT"
"2023-07-05";"13:23:13";"PWS2mqtt";"End of function app"
"2023-07-05";"13:24:01";"PWS2mqtt";"Converting the rawdata"
"2023-07-05";"13:24:01";"PWS2mqtt";"M2MQtt module loaded"
"2023-07-05";"13:24:01";"PWS2mqtt";"Default MQTT retain bit is set"
"2023-07-05";"13:24:01";"PWS2mqtt";"Connecting to MQTT server 1883"
"2023-07-05";"13:24:01";"PWS2mqtt";"Publishing data per topic"
"2023-07-05";"13:24:01";"PWS2mqtt";"Publishing json data"
"2023-07-05";"13:24:01";"PWS2mqtt";"Publishing raw data (json)"
"2023-07-05";"13:24:01";"PWS2mqtt";"Domoticz topic entered: domoticz/in"
"2023-07-05";"13:24:01";"PWS2mqtt";"Disconnecting MQTT"
"2023-07-05";"13:24:01";"PWS2mqtt";"End of function app"
